,Correct answer set for eact test and question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unique question id,,,,,,,,,,,,,,,,,,,,Correct answer set,,,,,,,,,,,,,,,,,,,,Marks for each question,,,,,,,,,,,,,,,,,,,,concepts tagged to a question (concept id),,,,,,,,,,,,,,,,,,,
S.No.,test id,test display name,topic,Themes covered,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
1,test-0001,Fraction,Math,TH1,Q_22,Q_55,Q_12,Q_23,Q_25,Q_54,Q_55,Q_56,Q_57,Q_65,Q_66,Q_68,Q_120,Q_13,Q_14,Q_15,Q_95,Q_96,Q_97,Q_98,a,a,b,c,d,c,a,b,b,b,c,d,a,b,b,a,a,a,c,d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,ST1,ST2,ST2,ST1,ST3,ST3,ST1,ST3,ST3,ST3,ST1,ST4,ST4,ST4,ST3,ST4,ST4,ST2,ST1,ST5
2,test-0002,Multiplication,Math,TH2,Q_23,Q_56,Q_13,Q_24,Q_26,Q_55,Q_85,Q_86,Q_87,Q_88,Q_89,Q_90,Q_111,Q_113,Q_114,Q_115,Q_116,Q_117,Q_118,Q_119,b,c,d,a,a,d,d,d,c,c,c,a,b,c,d,d,c,a,b,c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ST6,ST6,ST6,ST7,ST7,ST7,ST7,ST8,ST8,ST8,ST8,ST8,ST8,ST9,ST9,ST10,ST10,ST10,ST10,ST10
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTE:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Each test will have unique id, name, Topic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Each test will have multiple questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For each question, there will be QUESTION id, CORRECT ANSWER, MARKS, concept TAGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,We may get this entire data as JSON file or in XLS OR we can create this from MySQL tables (table 1 = test table havig list of question ids and table 2 = question tables having correct answer and concept tagged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
