,Response data of users on each test (we will get these either as JSON file or XLS file),,,,,,,,,,,,,,,,,,,,,,,,
S.no.,userid,testid,test display name,test date,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,total time taken (min)
1,shas001,test-0001,Fraction,12.3.18,c,a,b,b,b,a,a,,,d,c,d,a,a,b,c,a,b,c,c,25
2,muke012,test-0002,Multiplication,13.3.18,d,d,d,,,,,d,a,a,c,a,b,d,d,a,c,b,b,c,18
3,shas001,test-0001,Fraction,14.3.18,c,a,b,b,b,c,a,,,d,c,d,a,a,b,a,a,b,c,c,20
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
