,,,,,Marks Scored by the user for each of the questions,,,,,,,,,,,,,,,,,,,,,,,Score by sub-themes,,,,,,,,,,,,,,,,,,,
S.no.,userid,testid,test display name,test date,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Total score,Total Marks,total time taken (min),Concept1 ID,Conpcet1 score,Conpcet1 performance level,Concept1 rank,Concept2 ID,Conpcet2 score,Conpcet2 performance level,Concept2 rank,Concept3 ID,Concept3 score,Concept3 performance level,Concept3 rank,Concept4 ID,Concept4 score,Concept4 performance level,Concept4 rank,Concept5 ID,Concept5 score,Concept5 performance level,Concept5 rank
1,shas001,test-0001,Fraction,12.3.18,,,,,,,,,,,,,,,,,,,,,,,25,ST1,,,,ST2,,,,ST3,,,,ST4,,,,ST5,,,
2,muke012,test-0002,Multiplication,13.3.18,,,,,,,,,,,,,,,,,,,,,,,18,ST6,,,,ST7,,,,ST8,,,,ST9,,,,ST10,,,
3,shas001,test-0001,Fraction,14.3.18,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Score by Qn,=marks for that question if correct; else 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total score,=sum of scores obtained by the user by question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total marks,= sum of marks by question (Maximum that one can get on the test) ref the worksheet TEST CORRECT ANS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Concept wise score,"In a test, there will be multiple themes and for each theme, there may be multiple questions (Refer worksheet - Test Correct Ans data; column BN-CG)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Concept1 ID,= mention the id of the Concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Concept1 score,= calculate the score of the user on that Concept (scores on questions related to that Concept diviided by total marks on that Concept),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Concept performance level,"= if score on Concept is more than 80%, it is ""strong""'; If it is between 50% and 80%, it is ""Avg""; If it is less than 50%, it is ""Weak""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Concept rank,= rank order all Concept based on the score within a performance level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"e.g. between all the WEAK sub-themes; lowest score will be rank 1, then rank 2, then rank 3 and so on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
