S.no.,userid,testid,test display name,test date,Total Qn,Attempt no,Total time taken,Attempted Qn,Correct answer,Score%,Accuracy%,Attempt ratio,Speed,Weak area1,Weak area2,Weak area3
1,shas001,test-0001,,12.3.18,20,,25,18,,,,90%,,,,
2,muke012,test-0002,,13.3.18,20,,18,16,,,,80%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,FORMULA,,,,,,,,,,,,,,,
,Total Qn,= count of total questions in a test,,,,,,,,,,,,,,
,Attempt No,"= how many times user has taken the same test; 1st attempt or 2nd or 3rd etc… (use test id, user id and data of test for this calculation)",,,,,,,,,,,,,,
,Attempted Qn,= count of no. of questions answered,,,,,,,,,,,,,,
,Correct answer,= no of questions answered correctly (match the answer of user with the test correct answer data to know correct and wrong answers,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Score%,= correct answer / total Qn,,,,,,,,,,,,,,
,Accuracy %,= correct answer / Attempted Qn,,,,,,,,,,,,,,
,Attempt ratio,= attempted Qn / total Qn,,,,,,,,,,,,,,
,Speed,= Total time taken/Attempted Qn,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Weak  area1,= Concept display name of rank 1 in the WEAK category as calculated in outputsheet1,,,,,,,,,,,,,,
,Weak  area2,= Concept display name of rank 2 in the WEAK category as calculated in outputsheet1,,,,,,,,,,,,,,
,Weak  area3,= Concept display name of rank 3 in the WEAK category as calculated in outputsheet1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
